kind,case,family,touchpoints,self_check_risk,evidence,occurrences_outside_stable_list
ltp_stable,access01,fs_path_metadata,kernel/fs; api/arceos_posix_api/src/imp/fs.rs; examples/shell/src/uspace/fs*.rs; ulib/axlibc/src/stat.c,REVIEW_CASE_NAME_OCCURRENCE,case name occurrence outside stable list; manual review required,"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 45, ""expected_stable_list"": false, ""text"": ""\""access01\"", \""brk01\"", \""chdir01\"", \""clone01\"", \""close01\"", \""dup01\"", \""fcntl02\"", \""fork01\"", \""getpid01\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 51, ""expected_stable_list"": false, ""text"": ""\""access01\"", \""brk01\"", \""chdir01\"", \""clone01\"",""}, {""file"": ""scripts/test_ltp_summary.py"", ""line"": 54, ""expected_stable_list"": false, ""text"": ""\""RUN LTP CASE access01\"",""}, {""file"": ""scripts/test_ltp_summary.py"", ""line"": 55, ""expected_stable_list"": false, ""text"": ""\""FAIL LTP CASE access01 : 0\"",""}, {""file"": ""scripts/test_ltp_summary.py"", ""line"": 63, ""expected_stable_list"": false, ""text"": ""self.assertEqual(data[\""case_matrix\""][\""access01\""][\""rv\""][\""musl\""][\""status\""], \""PASS\"")""}, {""file"": ""scripts/test_ltp_summary.py"", ""line"": 70, ""expected_stable_list"": false, ""text"": ""\""RUN LTP CASE access01\"",""}, {""file"": ""scripts/test_ltp_summary.py"", ""line"": 71, ""expected_stable_list"": false, ""text"": ""\""PASS LTP CASE access01 : 0\"",""}, {""file"": ""scripts/test_ltp_summary.py"", ""line"": 79, ""expected_stable_list"": false, ""text"": ""self.assertEqual(data[\""case_matrix\""][\""access01\""][\""rv\""][\""musl\""][\""status\""], \""PASS\"")""}, {""file"": ""scripts/test_ltp_summary.py"", ""line"": 126, ""expected_stable_list"": false, ""text"": ""\""RUN LTP CASE access01\"",""}, {""file"": ""scripts/test_ltp_summary.py"", ""line"": 127, ""expected_stable_list"": false, ""text"": ""\""PASS LTP CASE access01 : 0\"",""}, {""file"": ""scripts/test_ltp_summary.py"", ""line"": 144, ""expected_stable_list"": false, ""text"": ""row = data[\""case_matrix\""][\""access01\""][\""rv\""][\""musl\""]""}]"
ltp_stable,brk01,memory,kernel/memory; examples/shell/src/uspace/memory*.rs; api/arceos_posix_api/src/imp/mem.rs,REVIEW_CASE_NAME_OCCURRENCE,case name occurrence outside stable list; manual review required,"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 45, ""expected_stable_list"": false, ""text"": ""\""access01\"", \""brk01\"", \""chdir01\"", \""clone01\"", \""close01\"", \""dup01\"", \""fcntl02\"", \""fork01\"", \""getpid01\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 51, ""expected_stable_list"": false, ""text"": ""\""access01\"", \""brk01\"", \""chdir01\"", \""clone01\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 608, ""expected_stable_list"": false, ""text"": ""\""sbrk01\"",""}]"
ltp_stable,chdir01,fs_path_metadata,kernel/fs; api/arceos_posix_api/src/imp/fs.rs; examples/shell/src/uspace/fs*.rs; ulib/axlibc/src/stat.c,REVIEW_CASE_NAME_OCCURRENCE,case name occurrence outside stable list; manual review required,"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 45, ""expected_stable_list"": false, ""text"": ""\""access01\"", \""brk01\"", \""chdir01\"", \""clone01\"", \""close01\"", \""dup01\"", \""fcntl02\"", \""fork01\"", \""getpid01\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 51, ""expected_stable_list"": false, ""text"": ""\""access01\"", \""brk01\"", \""chdir01\"", \""clone01\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 130, ""expected_stable_list"": false, ""text"": ""\""sched_getparam03\"", \""sched_setparam04\"", \""sched_setparam05\"", \""fchdir01\"",""}, {""file"": ""scripts/check_g005_runner_parser.py"", ""line"": 88, ""expected_stable_list"": false, ""text"": ""if '\""chdir01\""' in env_block or \""chdir01\"" in env_block:""}, {""file"": ""scripts/check_g005_runner_parser.py"", ""line"": 89, ""expected_stable_list"": false, ""text"": ""findings.append(\""examples/shell/src/cmd.rs: ltp_case_env must not special-case chdir01\"")""}, {""file"": ""scripts/check_g005_runner_parser.py"", ""line"": 98, ""expected_stable_list"": false, ""text"": ""if re.search(r\""if\\s+case\\s*==\\s*\\\""chdir01\\\""\"", text):""}, {""file"": ""scripts/check_g005_runner_parser.py"", ""line"": 99, ""expected_stable_list"": false, ""text"": ""findings.append(\""examples/shell/src/cmd.rs: case-name branch for chdir01 is forbidden\"")""}, {""file"": ""scripts/test_g005_runner_parser.py"", ""line"": 46, ""expected_stable_list"": false, ""text"": ""def test_detects_chdir01_case_specialization(self) -> None:""}, {""file"": ""scripts/test_g005_runner_parser.py"", ""line"": 52, ""expected_stable_list"": false, ""text"": ""\""if case == \\\""chdir01\\\"" {\"",""}, {""file"": ""scripts/test_g005_runner_parser.py"", ""line"": 58, ""expected_stable_list"": false, ""text"": ""self.assertIn(\""chdir01\"", result.stdout)""}]"
ltp_stable,clone01,process,"kernel/task; examples/shell/src/uspace/{process,task_context,resource_sched}.rs; api/arceos_posix_api/src/imp/task.rs",REVIEW_CASE_NAME_OCCURRENCE,case name occurrence outside stable list; manual review required,"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 45, ""expected_stable_list"": false, ""text"": ""\""access01\"", \""brk01\"", \""chdir01\"", \""clone01\"", \""close01\"", \""dup01\"", \""fcntl02\"", \""fork01\"", \""getpid01\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 51, ""expected_stable_list"": false, ""text"": ""\""access01\"", \""brk01\"", \""chdir01\"", \""clone01\"",""}]"
ltp_stable,close01,fd,api/arceos_posix_api/src/imp/fd_ops.rs; examples/shell/src/uspace/fd_table.rs; ulib/axlibc/src/fd_ops.c,REVIEW_CASE_NAME_OCCURRENCE,case name occurrence outside stable list; manual review required,"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 45, ""expected_stable_list"": false, ""text"": ""\""access01\"", \""brk01\"", \""chdir01\"", \""clone01\"", \""close01\"", \""dup01\"", \""fcntl02\"", \""fork01\"", \""getpid01\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 52, ""expected_stable_list"": false, ""text"": ""\""close01\"", \""dup01\"", \""fcntl01\"", \""fcntl02\"",""}]"
ltp_stable,dup01,fd,api/arceos_posix_api/src/imp/fd_ops.rs; examples/shell/src/uspace/fd_table.rs; ulib/axlibc/src/fd_ops.c,REVIEW_CASE_NAME_OCCURRENCE,case name occurrence outside stable list; manual review required,"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 45, ""expected_stable_list"": false, ""text"": ""\""access01\"", \""brk01\"", \""chdir01\"", \""clone01\"", \""close01\"", \""dup01\"", \""fcntl02\"", \""fork01\"", \""getpid01\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 52, ""expected_stable_list"": false, ""text"": ""\""close01\"", \""dup01\"", \""fcntl01\"", \""fcntl02\"",""}]"
ltp_stable,fcntl01,fd,api/arceos_posix_api/src/imp/fd_ops.rs; examples/shell/src/uspace/fd_table.rs; ulib/axlibc/src/fd_ops.c,REVIEW_CASE_NAME_OCCURRENCE,case name occurrence outside stable list; manual review required,"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 52, ""expected_stable_list"": false, ""text"": ""\""close01\"", \""dup01\"", \""fcntl01\"", \""fcntl02\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 102, ""expected_stable_list"": false, ""text"": ""\""fcntl01_64\"", \""fcntl02_64\"", \""fcntl03_64\"", \""fcntl04_64\"",""}]"
ltp_stable,fcntl02,fd,api/arceos_posix_api/src/imp/fd_ops.rs; examples/shell/src/uspace/fd_table.rs; ulib/axlibc/src/fd_ops.c,REVIEW_CASE_NAME_OCCURRENCE,case name occurrence outside stable list; manual review required,"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 45, ""expected_stable_list"": false, ""text"": ""\""access01\"", \""brk01\"", \""chdir01\"", \""clone01\"", \""close01\"", \""dup01\"", \""fcntl02\"", \""fork01\"", \""getpid01\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 52, ""expected_stable_list"": false, ""text"": ""\""close01\"", \""dup01\"", \""fcntl01\"", \""fcntl02\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 102, ""expected_stable_list"": false, ""text"": ""\""fcntl01_64\"", \""fcntl02_64\"", \""fcntl03_64\"", \""fcntl04_64\"",""}]"
ltp_stable,fork01,process,"kernel/task; examples/shell/src/uspace/{process,task_context,resource_sched}.rs; api/arceos_posix_api/src/imp/task.rs",REVIEW_CASE_NAME_OCCURRENCE,case name occurrence outside stable list; manual review required,"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 45, ""expected_stable_list"": false, ""text"": ""\""access01\"", \""brk01\"", \""chdir01\"", \""clone01\"", \""close01\"", \""dup01\"", \""fcntl02\"", \""fork01\"", \""getpid01\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 53, ""expected_stable_list"": false, ""text"": ""\""fork01\"", \""getpid01\"", \""mmap01\"", \""open01\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 269, ""expected_stable_list"": false, ""text"": ""\""vfork01\"",""}]"
ltp_stable,getpid01,process,"kernel/task; examples/shell/src/uspace/{process,task_context,resource_sched}.rs; api/arceos_posix_api/src/imp/task.rs",REVIEW_CASE_NAME_OCCURRENCE,case name occurrence outside stable list; manual review required,"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 45, ""expected_stable_list"": false, ""text"": ""\""access01\"", \""brk01\"", \""chdir01\"", \""clone01\"", \""close01\"", \""dup01\"", \""fcntl02\"", \""fork01\"", \""getpid01\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 53, ""expected_stable_list"": false, ""text"": ""\""fork01\"", \""getpid01\"", \""mmap01\"", \""open01\"",""}]"
ltp_stable,mmap01,memory,kernel/memory; examples/shell/src/uspace/memory*.rs; api/arceos_posix_api/src/imp/mem.rs,REVIEW_CASE_NAME_OCCURRENCE,case name occurrence outside stable list; manual review required,"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 46, ""expected_stable_list"": false, ""text"": ""\""mmap01\"", \""open01\"", \""pipe01\"", \""read01\"", \""stat01\"", \""wait401\"", \""write01\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 53, ""expected_stable_list"": false, ""text"": ""\""fork01\"", \""getpid01\"", \""mmap01\"", \""open01\"",""}]"
ltp_stable,open01,fd,api/arceos_posix_api/src/imp/fd_ops.rs; examples/shell/src/uspace/fd_table.rs; ulib/axlibc/src/fd_ops.c,REVIEW_CASE_NAME_OCCURRENCE,case name occurrence outside stable list; manual review required,"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 46, ""expected_stable_list"": false, ""text"": ""\""mmap01\"", \""open01\"", \""pipe01\"", \""read01\"", \""stat01\"", \""wait401\"", \""write01\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 53, ""expected_stable_list"": false, ""text"": ""\""fork01\"", \""getpid01\"", \""mmap01\"", \""open01\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 560, ""expected_stable_list"": false, ""text"": ""\""mq_open01\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 565, ""expected_stable_list"": false, ""text"": ""\""pidfd_open01\"",""}]"
ltp_stable,pipe01,fd,api/arceos_posix_api/src/imp/fd_ops.rs; examples/shell/src/uspace/fd_table.rs; ulib/axlibc/src/fd_ops.c,REVIEW_CASE_NAME_OCCURRENCE,case name occurrence outside stable list; manual review required,"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 46, ""expected_stable_list"": false, ""text"": ""\""mmap01\"", \""open01\"", \""pipe01\"", \""read01\"", \""stat01\"", \""wait401\"", \""write01\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 54, ""expected_stable_list"": false, ""text"": ""\""pipe01\"", \""read01\"", \""stat01\"", \""wait401\"",""}]"
ltp_stable,read01,fd,api/arceos_posix_api/src/imp/fd_ops.rs; examples/shell/src/uspace/fd_table.rs; ulib/axlibc/src/fd_ops.c,REVIEW_CASE_NAME_OCCURRENCE,case name occurrence outside stable list; manual review required,"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 46, ""expected_stable_list"": false, ""text"": ""\""mmap01\"", \""open01\"", \""pipe01\"", \""read01\"", \""stat01\"", \""wait401\"", \""write01\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 54, ""expected_stable_list"": false, ""text"": ""\""pipe01\"", \""read01\"", \""stat01\"", \""wait401\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 79, ""expected_stable_list"": false, ""text"": ""\""pread01\"", \""pwrite01\"", \""sysinfo01\"", \""waitpid06\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 104, ""expected_stable_list"": false, ""text"": ""\""fcntl29_64\"", \""ftruncate01_64\"", \""lstat01_64\"", \""pread01_64\"",""}, {""file"": ""scripts/test_ltp_summary.py"", ""line"": 86, ""expected_stable_list"": false, ""text"": ""\""RUN LTP CASE read01\"",""}, {""file"": ""scripts/test_ltp_summary.py"", ""line"": 87, ""expected_stable_list"": false, ""text"": ""\""PASS LTP CASE read01 : 5\"",""}, {""file"": ""scripts/test_ltp_summary.py"", ""line"": 95, ""expected_stable_list"": false, ""text"": ""row = data[\""case_matrix\""][\""read01\""][\""rv\""][\""glibc\""]""}]"
ltp_stable,stat01,fs_path_metadata,kernel/fs; api/arceos_posix_api/src/imp/fs.rs; examples/shell/src/uspace/fs*.rs; ulib/axlibc/src/stat.c,REVIEW_CASE_NAME_OCCURRENCE,case name occurrence outside stable list; manual review required,"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 46, ""expected_stable_list"": false, ""text"": ""\""mmap01\"", \""open01\"", \""pipe01\"", \""read01\"", \""stat01\"", \""wait401\"", \""write01\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 54, ""expected_stable_list"": false, ""text"": ""\""pipe01\"", \""read01\"", \""stat01\"", \""wait401\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 62, ""expected_stable_list"": false, ""text"": ""\""open03\"", \""stat02\"", \""lstat01\"", \""chmod01\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 104, ""expected_stable_list"": false, ""text"": ""\""fcntl29_64\"", \""ftruncate01_64\"", \""lstat01_64\"", \""pread01_64\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 105, ""expected_stable_list"": false, ""text"": ""\""pwrite01_64\"", \""pwrite03_64\"", \""stat01_64\"", \""stat02_64\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 650, ""expected_stable_list"": false, ""text"": ""\""lstat01\"",""}]"
ltp_stable,wait401,process,"kernel/task; examples/shell/src/uspace/{process,task_context,resource_sched}.rs; api/arceos_posix_api/src/imp/task.rs",REVIEW_CASE_NAME_OCCURRENCE,case name occurrence outside stable list; manual review required,"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 46, ""expected_stable_list"": false, ""text"": ""\""mmap01\"", \""open01\"", \""pipe01\"", \""read01\"", \""stat01\"", \""wait401\"", \""write01\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 54, ""expected_stable_list"": false, ""text"": ""\""pipe01\"", \""read01\"", \""stat01\"", \""wait401\"",""}]"
ltp_stable,write01,fd,api/arceos_posix_api/src/imp/fd_ops.rs; examples/shell/src/uspace/fd_table.rs; ulib/axlibc/src/fd_ops.c,REVIEW_CASE_NAME_OCCURRENCE,case name occurrence outside stable list; manual review required,"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 46, ""expected_stable_list"": false, ""text"": ""\""mmap01\"", \""open01\"", \""pipe01\"", \""read01\"", \""stat01\"", \""wait401\"", \""write01\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 55, ""expected_stable_list"": false, ""text"": ""\""write01\"", \""access03\"", \""close02\"", \""dup02\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 79, ""expected_stable_list"": false, ""text"": ""\""pread01\"", \""pwrite01\"", \""sysinfo01\"", \""waitpid06\"",""}, {""file"": ""examples/shell/src/cmd.rs"", ""line"": 105, ""expected_stable_list"": false, ""text"": ""\""pwrite01_64\"", \""pwrite03_64\"", \""stat01_64\"", \""stat02_64\"",""}]"
ltp_stable,access03,fs_path_metadata,kernel/fs; api/arceos_posix_api/src/imp/fs.rs; examples/shell/src/uspace/fs*.rs; ulib/axlibc/src/stat.c,REVIEW_CASE_NAME_OCCURRENCE,case name occurrence outside stable list; manual review required,"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 55, ""expected_stable_list"": false, ""text"": ""\""write01\"", \""access03\"", \""close02\"", \""dup02\"",""}]"
ltp_stable,close02,fd,api/arceos_posix_api/src/imp/fd_ops.rs; examples/shell/src/uspace/fd_table.rs; ulib/axlibc/src/fd_ops.c,REVIEW_CASE_NAME_OCCURRENCE,case name occurrence outside stable list; manual review required,"[{""file"": ""examples/shell/src/cmd.rs"", ""line"": 55, ""expected_stable_list"": false, ""text"": ""\""write01\"", \""access03\"", \""close02\"", \""dup02\"",""}]"
